tree_ID,bloc,treatment,genus,species,Notes,102,103,106,109,113,116,120,123,
Acma_CoolS/CoolF_B1_R1,1,CoolS/CoolF,acer,acer_macrophyllum,,0,NA,0,0,0,0,,,
Acma_CoolS/CoolF_B1_R2,1,CoolS/CoolF,acer,acer_macrophyllum,116: stage 0 not 2,0,NA,2,2,2,0,,,
Acma_CoolS/CoolF_B1_R3,1,CoolS/CoolF,acer,acer_macrophyllum,116: stage 0 not 1,0,NA,1,1,1,0,,,
Acma_CoolS/CoolF_B1_R4,1,CoolS/CoolF,acer,acer_macrophyllum,116: stage 0 not 1,0,NA,1,1,1,0,,,
Acma_CoolS/CoolF_B1_R5,1,CoolS/CoolF,acer,acer_macrophyllum,116: stage 0 not 1,0,NA,1,1,1,0,,,
Acma_CoolS/CoolF_B2_R6,2,CoolS/CoolF,acer,acer_macrophyllum,116: stage 0 not 1,0,NA,1,1,1,0,,,
Acma_CoolS/CoolF_B2_R7,2,CoolS/CoolF,acer,acer_macrophyllum,116: stage 0 not 2,0,NA,1,1,2,0,,,
Acma_CoolS/CoolF_B2_R8,2,CoolS/CoolF,acer,acer_macrophyllum,,1,NA,1,1,1,1,,,
Acma_CoolS/CoolF_B2_R9,2,CoolS/CoolF,acer,acer_macrophyllum,,1,NA,1,1,1,1,,,
Acma_CoolS/CoolF_B2_R10,2,CoolS/CoolF,acer,acer_macrophyllum,116: stage 0 not 1,0,NA,1,1,1,0,,,
Acma_CoolS/CoolF_B3_R11,3,CoolS/CoolF,acer,acer_macrophyllum,116: stage 0 not 1,0,NA,1,1,1,0,,,
Acma_CoolS/CoolF_B3_R12,3,CoolS/CoolF,acer,acer_macrophyllum,116: stage 0 not 2,0,NA,2,2,2,0,,,
Acma_CoolS/CoolF_B3_R13,3,CoolS/CoolF,acer,acer_macrophyllum,116: stage 0 not 1,0,NA,1,1,1,0,,,
Acma_CoolS/CoolF_B3_R14,3,CoolS/CoolF,acer,acer_macrophyllum,116: stage 0 not 2,0,NA,1,1,2,0,,,
Acma_CoolS/CoolF_B3_R15,3,CoolS/CoolF,acer,acer_macrophyllum,116: stage 0 not 2,0,NA,2,2,2,0,,,
Acma_CoolS/CoolF_B1_R1_nitro,1,CoolS/CoolF_nitro,acer,acer_macrophyllum,116: stage 0 not 2,0,NA,1,1,2,0,,,
Acma_CoolS/CoolF_B1_R2_nitro,1,CoolS/CoolF_nitro,acer,acer_macrophyllum,,0,NA,0,0,0,0,,,
Acma_CoolS/CoolF_B1_R3_nitro,1,CoolS/CoolF_nitro,acer,acer_macrophyllum,116: stage 0 not 1,0,NA,1,1,1,0,,,
Acma_CoolS/CoolF_B1_R4_nitro,1,CoolS/CoolF_nitro,acer,acer_macrophyllum,116: stage 0 not 2,0,NA,2,2,2,0,,,
Acma_CoolS/CoolF_B1_R5_nitro,1,CoolS/CoolF_nitro,acer,acer_macrophyllum,,0,NA,0,0,0,0,,,
Acma_CoolS/CoolF_B2_R6_nitro,2,CoolS/CoolF_nitro,acer,acer_macrophyllum,,1,NA,1,1,2,2,,,
Acma_CoolS/CoolF_B2_R7_nitro,2,CoolS/CoolF_nitro,acer,acer_macrophyllum,,1,NA,1,1,2,2,,,
Acma_CoolS/CoolF_B2_R8_nitro,2,CoolS/CoolF_nitro,acer,acer_macrophyllum,116: stage 0 not 2,0,NA,1,1,2,0,,,
Acma_CoolS/CoolF_B2_R9_nitro,2,CoolS/CoolF_nitro,acer,acer_macrophyllum,,1,NA,1,1,1,1,,,
Acma_CoolS/CoolF_B2_R10_nitro,2,CoolS/CoolF_nitro,acer,acer_macrophyllum,116: stage 1 not 2,1,NA,2,2,2,1,,,
Acma_CoolS/CoolF_B3_R11_nitro,3,CoolS/CoolF_nitro,acer,acer_macrophyllum,116: stage 0 not 2,2,NA,2,2,2,0,,,
Acma_CoolS/CoolF_B3_R12_nitro,3,CoolS/CoolF_nitro,acer,acer_macrophyllum,116: stage 0 not 2,0,NA,0,1,2,0,,,
Acma_CoolS/CoolF_B3_R13_nitro,3,CoolS/CoolF_nitro,acer,acer_macrophyllum,116: stage 0 not 1,1,NA,1,1,1,0,,,
Acma_CoolS/CoolF_B3_R14_nitro,3,CoolS/CoolF_nitro,acer,acer_macrophyllum,116: stage 0 not 1,0,NA,0,0,1,0,,,
